# Comments starts with '#' and the line will be ignored when reading
# Command, start with pipe '|'
# Empty lines will be ignored when reading
# CSV format for data plot

# Type of plot
| type = boxplot
# Grouping data are assigned as 'x' variable
| x=ER
# The scatter data are assigned as 'y' variable
| y=time_survival
# Axis labels
| xlabel = PSP
| ylabel = Amplitude (mV)
# Group / legend
|group = [yes,no]
# Color base on label
| pwcol = event_survival

# Data table: Biopsy Data on Breast Cancer Patients from R
Subject,ER,ESR1,ERBB2,time_survival,event_survival
100.CEL.gz,neg,8.37213290709878,13.0858943594203,39,1
103.CEL.gz,pos,10.5593559923123,9.49168294599668,97,0
104.CEL.gz,pos,12.2999047576307,9.59957438317891,11,1
105.CEL.gz,pos,10.7766319196563,9.6817469276237,99,0
106.CEL.gz,pos,10.5051241705745,9.43676271545993,40,1
107.CEL.gz,neg,10.3777411818427,8.69557643700001,94,0
108.CEL.gz,pos,12.4323483667995,9.23650403496762,28,1
109.CEL.gz,neg,6.09818817310832,9.41434255614334,87,0
11.CEL.gz,pos,11.703606464204,12.9191257560958,109,0
110.CEL.gz,pos,11.2362861276649,8.32543024607073,8,1
111.CEL.gz,neg,8.51280349678479,13.0558867900524,98,0
112.CEL.gz,neg,6.50043926296513,6.72542892804327,17,1
113.CEL.gz,neg,6.42608445431586,9.39252471713382,101,0
114.CEL.gz,pos,11.7456280441488,10.1033380275679,86,0
115.CEL.gz,pos,12.3485768579098,10.2054862600212,15,1
118.CEL.gz,neg,7.53541560540052,8.64280698156358,95,0
121.CEL.gz,neg,5.54132175074059,9.13324913320642,23,1
122.CEL.gz,pos,10.7074496790627,10.4299196403835,104,0
124.CEL.gz,pos,7.78239853913062,9.40946958185425,8,1
125.CEL.gz,pos,9.6248587333099,11.3598243959453,93,0
126.CEL.gz,pos,7.21584864584712,9.52397597058523,37,1
130.CEL.gz,pos,11.6638069616835,10.4246682436219,26,1
133.CEL.gz,pos,12.469217803975,10.2973135581628,87,0
134.CEL.gz,pos,12.0184838028063,9.9027677219372,28,1
135.CEL.gz,neg,7.86805798082749,12.7483538998699,84,0
136.CEL.gz,neg,7.06752364619565,9.6690536230848,25,1
137.CEL.gz,pos,11.5976421866035,9.65102322906661,32,1
138.CEL.gz,pos,12.5173791380199,9.51541913525329,47,1
139.CEL.gz,pos,10.1746398541086,9.21349532534044,111,0
14.CEL.gz,neg,7.75025194055096,8.53809447487566,14,1
140.CEL.gz,pos,11.2194416747614,8.79492984236348,19,1
141.CEL.gz,pos,12.6019607535903,9.68082424546604,25,1
15.CEL.gz,pos,10.5683388527032,10.021543991604,99,0
17.CEL.gz,pos,12.0882234270723,9.16101077125069,137,0
18.CEL.gz,pos,11.4422157204304,9.2291226824404,34,1
19.CEL.gz,pos,11.8527470968783,10.1250698879603,32,1
20.CEL.gz,neg,5.87347538586861,8.64429828312823,128,0
200.CEL.gz,pos,12.798467435591,10.377965305712,108,0
201.CEL.gz,pos,12.8028173238094,9.42476727209819,113,0
203.CEL.gz,pos,11.2024018154384,9.30791156697031,29,1
204.CEL.gz,neg,6.64555572908903,12.4467604051034,24,1
205.CEL.gz,pos,11.7492022897052,9.97470301172929,23,1
21.CEL.gz,pos,10.6925351546504,12.2147089652696,14,1
212.CEL.gz,pos,11.4275547073247,9.79572866882142,7,1
