# Comments starts with '#' and the line will be ignored when reading,,,,,
# Command, start with pipe '|',,,,
# Empty lines will be ignored when reading,,,,,
# CSV format for data plot,,,,,
# Double quote is not allowed, use single quote instead
#  Type of plot,,,,,
| type=trace
# Plot data specification
| x = time
| y = voltage
| xunit = ms
| yunit = mV
# Data Table: No meta parameters should be defined beyond data table,,,,,
time,voltage,current
0,-56.4392,2.5001
0.1,-56.433,3.1251
0.2,-56.433,1.8751
0.3,-56.433,3.1251
0.4,-56.408,0.62502
0.5,-56.408,3.1251
0.6,-56.408,3.1251
0.7,-56.3955,1.5625
0.8,-56.3767,2.5001
0.9,-56.3517,1.5625
1,-56.3205,0.62502
1.1,-56.3017,3.1251
1.2,-56.3017,3.4376
1.3,-56.2955,4.6876
1.4,-56.283,2.1876
1.5,-56.2705,2.8126
1.6,-56.258,2.1876
1.7,-56.2705,3.7501
1.8,-56.258,2.8126
1.9,-56.2392,2.1876
2,-56.2455,3.4376
2.1,-56.2392,1.5625
2.2,-56.2392,4.3751
2.3,-56.2517,2.8126
2.4,-56.233,1.8751
2.5,-56.2142,1.25
2.6,-56.233,3.1251
2.7,-56.2205,2.8126
2.8,-56.2267,1.8751
2.9,-56.2205,2.1876
3,-56.1955,1.8751
3.1,-56.1955,2.5001
3.2,-56.208,2.8126
3.3,-56.2142,3.7501
3.4,-56.2017,1.8751
3.5,-56.183,1.25
3.6,-56.1767,1.25
3.7,-56.1642,1.25
3.8,-56.1392,1.5625
3.9,-56.1142,2.5001
4,-56.1017,2.5001
4.1,-56.0955,3.4376
4.2,-56.1017,2.8126
4.3,-56.0892,2.1876
4.4,-56.058,3.7501
4.5,-56.058,2.5001
4.6,-56.0705,4.0626
4.7,-56.0642,3.7501
4.8,-56.0642,1.8751
4.9,-56.0642,3.1251
5,-56.0517,1.5625
5.1,-56.0392,1.8751
5.2,-56.0705,3.1251
5.3,-56.0392,2.5001
5.4,-56.0267,0.62502
5.5,-56.0267,2.5001
5.6,-56.008,2.8126
5.7,-56.0017,2.8126
5.8,-56.0142,3.7501
5.9,-56.0142,2.5001
6,-56.0205,2.8126
6.1,-56.0017,1.8751
6.2,-56.008,1.8751
6.3,-55.9892,2.5001
6.4,-55.9955,1.8751
6.5,-55.983,1.25
6.6,-55.9455,0.62502
6.7,-55.9517,1.5625
6.8,-55.933,1.5625
6.9,-55.9205,3.1251
7,-55.9392,2.5001
7.1,-55.933,4.0626
7.2,-55.9267,1.25
7.3,-55.9205,1.8751
7.4,-55.9205,1.8751
7.5,-55.8955,1.25
7.6,-55.9017,1.5625
7.7,-55.9017,2.8126
7.8,-55.883,1.5625
7.9,-55.8705,0.62502
8,-55.883,4.3751
8.1,-55.8642,2.1876
8.2,-55.8705,2.5001
8.3,-55.8892,3.4376
8.4,-55.883,1.25
8.5,-55.883,2.5001
8.6,-55.9017,3.4376
8.7,-55.9142,2.8126
8.8,-55.9205,2.5001
8.9,-55.9142,1.25
9,-55.9142,0.93753
9.1,-55.9017,1.8751
9.2,-55.8955,2.5001
9.3,-55.8955,0.31251
9.4,-55.8892,3.4376
9.5,-55.883,2.5001
9.6,-55.858,0.62502
9.7,-55.8392,1.5625
9.8,-55.8392,1.8751
9.9,-55.8205,2.1876
10,-55.8517,5.6252
10.1,-55.833,1.8751
10.2,-55.8142,1.25
10.3,-55.8205,2.1876
10.4,-55.8017,1.5625
10.5,-55.8017,3.4376
10.6,-55.8142,3.1251
10.7,-55.8142,3.1251
10.8,-55.8142,2.5001
10.9,-55.8205,2.8126
11,-55.8017,0.31251
11.1,-55.7955,1.25
11.2,-55.7767,2.5001
11.3,-55.7767,1.5625
11.4,-55.8017,2.8126
11.5,-55.7892,2.5001
11.6,-55.783,1.5625
