id,Cell,CellType,Date,Drug,DrugTime,Episode,EpisodeNum,FileSizeBytes,NumSpikes,NumSpikesAfter,RMP,StimDescription,StimDuration,Stimulus,SweepWindow,TotalSpikes,WCTime,Comment,count
19693,Neocortex A.25Sep15,TeA,9/25/2015,ML297+CCh,3107.77,S1.E16,16,2401644,26,163,-68.3557,"DAC0: PulseB 200 [1000,3000];",2000,"[1000,3000,200]",40000,189,3236.82,,4
19695,Neocortex A.25Sep15,TeA,9/25/2015,ML297+CCh,3380.56,S1.E18,18,2401643,28,181,-67.7549,"DAC0: PulseB 200 [1000,3000];",2000,"[1000,3000,200]",40000,209,3509.61,,4
19699,Neocortex A.25Sep15,TeA,9/25/2015,ML297+CCh,3777.15,S1.E22,22,2401643,27,197,-71.1584,"DAC0: PulseB 200 [1000,3000];",2000,"[1000,3000,200]",40000,224,3906.2,,4
19701,Neocortex A.25Sep15,TeA,9/25/2015,ML297+CCh,3999.09,S1.E24,24,2401642,27,186,-69.7718,"DAC0: PulseB 200 [1000,3000];",2000,"[1000,3000,200]",40000,213,4128.14,,4
19764,Neocortex C.25Sep15,TeA,9/25/2015,ML297+CCh,1791.83,S1.E17,17,2401641,24,91,-68.2297,"DAC0: PulseB 300 [1000,3000];",2000,"[1000,3000,300]",40000,115,1863.6,,5
19765,Neocortex C.25Sep15,TeA,9/25/2015,ML297+CCh,1957.0,S1.E18,18,2401640,23,89,-69.0703,"DAC0: PulseB 300 [1000,3000];",2000,"[1000,3000,300]",40000,112,2028.77,,5
19766,Neocortex C.25Sep15,TeA,9/25/2015,ML297+CCh,2037.46,S1.E19,19,2401640,23,109,-68.3161,"DAC0: PulseB 300 [1000,3000];",2000,"[1000,3000,300]",40000,132,2109.23,,5
19767,Neocortex C.25Sep15,TeA,9/25/2015,ML297+CCh,2119.84,S1.E20,20,2401641,23,97,-70.1422,"DAC0: PulseB 300 [1000,3000];",2000,"[1000,3000,300]",40000,120,2191.61,,5
19768,Neocortex C.25Sep15,TeA,9/25/2015,ML297+CCh,2195.07,S1.E21,21,2401641,22,102,-70.9831,"DAC0: PulseB 300 [1000,3000];",2000,"[1000,3000,300]",40000,124,2266.84,,5
31844,Neocortex B.15Mar16,TeA,3/15/2016,ML297+CCh,973.668,S1.E10,10,3001645,38,271,-71.0046,"DAC0: PulseB 300 [1000,3000];",2000,"[1000,3000,300]",50000,309,1056.64,,3
31845,Neocortex B.15Mar16,TeA,3/15/2016,ML297+CCh,1393.62,S1.E11,11,3001645,35,163,-70.6753,"DAC0: PulseB 300 [1000,3000];",2000,"[1000,3000,300]",50000,198,1476.6,,3
31846,Neocortex B.15Mar16,TeA,3/15/2016,ML297+CCh,1565.87,S1.E12,12,3001645,38,271,-70.1795,"DAC0: PulseB 300 [1000,3000];",2000,"[1000,3000,300]",50000,309,1648.84,,3
