Show,Cell,Episode,SweepWindow,Drug,DrugTime,WCTime,StimDescription,path,drug_level,has_hyperpolarizing,hyper_start_ms,hyper_end_ms,hyper_amp,depol_start_ms,depol_end_ms,depol_amp,depol_source,after_step_ms,stim_source,voltage_channel,n_spikes_post,first_spike_ms,last_spike_ms,persist_span_ms
1,Neocortex A.01Mar16,S1.E15,50000,ML297+CCh+1/2uM NS309,608.8359375,682.359375,"DAC0: PulseB 500 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/03.March/Data 1 Mar 2016/Neocortex A.01Mar16.S1.E15.dat,1,False,,,,1000.0,3000.0,500.0,pulseB,47000.0,StimulusA,A,132,3734.3000109419227,49762.10069680959,46762.10069680959
1,Neocortex A.06Jul18,S1.E8,50000,2uM CCh + 2/3uM ML297,844.53125,1185.0,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/07.July/Data 6 Jul 2018/Neocortex A.06Jul18.S1.E8.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,46000.0,StimulusA,A,257,4255.600003808737,49948.900684691966,45948.900684691966
1,Neocortex A.06Jul18,S1.E10,50000,2uM CCh + 2/3uM ML297,1062.04296875,1402.51171875,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/07.July/Data 6 Jul 2018/Neocortex A.06Jul18.S1.E10.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,46000.0,StimulusA,A,217,4355.900005303323,49979.40068514645,45979.40068514645
1,Neocortex A.06Jul18,S1.E13,50000,2uM CCh + 2/3uM ML297,1364.23046875,1704.69921875,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/07.July/Data 6 Jul 2018/Neocortex A.06Jul18.S1.E13.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,46000.0,StimulusA,A,327,4209.600003123283,49954.10068476945,45954.10068476945
1,Neocortex A.06Jul18,S1.E15,50000,2uM CCh + 2/3uM ML297,1587.78125,1928.25,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/07.July/Data 6 Jul 2018/Neocortex A.06Jul18.S1.E15.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,46000.0,StimulusA,A,291,4293.300004370511,49959.00068484247,45959.00068484247
1,Neocortex A.06Jul18,S1.E20,50000,2uM CCh + 2/3uM ML297,2092.19140625,2432.66015625,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/07.July/Data 6 Jul 2018/Neocortex A.06Jul18.S1.E20.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,46000.0,StimulusA,A,356,4285.000004246831,49933.60068446398,45933.60068446398
1,Neocortex A.06Jul18,S1.E21,50000,2uM CCh + 2/3uM ML297,2187.48046875,2527.94921875,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/07.July/Data 6 Jul 2018/Neocortex A.06Jul18.S1.E21.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,46000.0,StimulusA,A,261,4403.700006015599,49849.20068320632,45849.20068320632
1,Neocortex A.06Jul18,S1.E24,50000,2uM CCh + 2/3uM ML297,2500.96484375,2841.43359375,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/07.July/Data 6 Jul 2018/Neocortex A.06Jul18.S1.E24.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,46000.0,StimulusA,A,427,4206.200003072619,49960.10068485886,45960.10068485886
1,Neocortex A.07Mar19,S1.E10,25000,2uM CCh + 2/3uM ML297,674.23828125,861.78125,"DAC0: PulseA -50 [200,1000];PulseB 300 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2019/03.March/Data 7 Mar 2019/Neocortex A.07Mar19.S1.E10.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,300.0,pulseB,21000.0,StimulusA,A,73,4735.500010959804,24974.100312538445,20974.100312538445
1,Neocortex A.07Mar19,S1.E21,25000,2uM CCh + 2/3uM ML297,1651.61328125,1839.15625,"DAC0: PulseA -50 [200,1000];PulseB 300 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2019/03.March/Data 7 Mar 2019/Neocortex A.07Mar19.S1.E21.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,300.0,pulseB,21000.0,StimulusA,A,96,4559.100008331239,24834.800310462713,20834.800310462713
